geoidentifikator,administrativeunit,name_1,name_2,type,localtype,leastdetailedviewingscale,mostdetailedviewingscale,beginlifespanversion,endlifespanversion,languagegeoname,languageiso_639,script,nativeness,namestatus,standardizationdata,sourceofname,responsibleinstitution,grammaticalgender,grammaticalnumber,note_,znacaj,matbro,matbrnas,brojstanovnika,godinapopisa,editdate,geometry
SRBRGI6100094,Ковин,Kevepallós,,"6","6003","250000",,,,"2","2",Latn,"1","1",,"22",Републички геодетски завод,,,,"5","80225","802395","1794","2011",,POINT(490959.09339999966 4951835.5535)
SRBRGI6100095,Ковин,Székelykeve,,"6","6003","250000",,,,"2","2",Latn,"1","1",,"22",Републички геодетски завод,,,,"5","80225","802409","2354","2011",,POINT(492564.71559999976 4956827.9288)
SRBRGI6100096,Ковин,Emánueltelep,,"6","6003","250000",,,,"2","2",Latn,"1","1",,"22",Републички геодетски завод,,,,"5","80225","802417","161","2011",,POINT(511326.3322999999 4962893.053400001)
SRBRGI6100097,Ковин,Dunadombó,,"6","6003","250000",,,,"2","2",Latn,"1","1",,"22",Републички геодетски завод,,,,"5","80225","802344","1188","2011",,POINT(516491.01499999966 4960256.2029)
SRBRGI6100098,Бела Црква,Szőlőshegy,,"6","6003","250000",,,,"2","2",Latn,"1","1",,"22",Републички геодетски завод,,,,"5","80098","800830","94","2011",,POINT(543520.7827000003 4972018.610099999)
SRBRGI6100099,Пландиште,Szentjános,,"6","6003","250000",,,,"2","2",Latn,"1","1",,"22",Републички геодетски завод,,,,"5","80349","803332","516","2011",,POINT(506368.62569999974 5003078.261700001)
SRBRGI6100100,Пландиште,Ürményháza,,"6","6003","250000",,,,"2","2",Latn,"1","1",,"22",Републички геодетски завод,,,,"5","80349","803383","905","2011",,POINT(503360.6624999996 5003537.828299999)
SRBRGI6100101,Пландиште,Nagymargita,,"6","6003","250000",,,,"2","2",Latn,"1","1",,"22",Републички геодетски завод,,,,"5","80349","803413","924","2011",,POINT(513786.64350000024 5006929.286)
SRBRGI6100102,Пландиште,Zichyfalva,,"6","6003","250000",,,,"2","2",Latn,"1","1",,"22",Републички геодетски завод,,,,"5","80349","803448","3825","2011",,POINT(509622.55840000045 5008467.662799999)
SRBRGI6100103,Пландиште,Györgyháza,,"6","6003","250000",,,,"2","2",Latn,"1","1",,"22",Републички геодетски завод,,,,"5","80349","803359","1158","2011",,POINT(502178.7922 5009754.6401)
SRBRGI6100104,Пландиште,Szécsenfalva,,"6","6003","250000",,,,"2","2",Latn,"1","1",,"22",Републички геодетски завод,,,,"5","80349","803375","147","2011",,POINT(499937.1151999999 5015056.716600001)
SRBRGI6100105,Пландиште,Laudon,,"6","6003","250000",,,,"2","2",Latn,"1","1",,"22",Републички геодетски завод,,,,"5","80349","803405","21","2011",,POINT(511401.3256999999 5002819.305)
