geoidentifikator,name_1,name_2,localtype,znacaj,matbro,editdate,geometry
SRBRGI5100104,Капија,Kapija,"5101","5","70815",2017/02/01 01:00:00+01,POINT(545777.4419 4731844.2619)
SRBRGI5100105,Новакова чука,Novakova čuka,"5101","5","70815",2017/02/01 01:00:00+01,POINT(544319.8331000004 4730778.8474)
SRBRGI5100106,Ајкобила,Ajkobila,"5101","5","70815",2017/02/01 01:00:00+01,POINT(538659.1056000004 4733378.2827)
SRBRGI5100107,Мркоњски вис,Mrkonjski vis,"5101","5","70815",2017/02/01 01:00:00+01,POINT(538675.7082000002 4736270.250499999)
SRBRGI5100108,Пискавац,Piskavac,"5101","5","70726",2017/02/01 01:00:00+01,POINT(565592.5521 4748743.6653)
SRBRGI5100109,Кита,Kita,"5101","5","70726",2017/02/01 01:00:00+01,POINT(576835.6665000003 4744411.4146)
SRBRGI5100110,Црни врх,Crni vrh,"5101","5","70726",2017/02/01 01:00:00+01,POINT(572971.1107000001 4741332.4964000005)
SRBRGI5100111,Знак,Znak,"5101","5","70726",2017/02/01 01:00:00+01,POINT(570880.2471000003 4738507.3738)
SRBRGI5100112,Сировље,Sirovlje,"5101","5","71226",2017/02/01 01:00:00+01,POINT(605149.2152000004 4750729.648800001)
SRBRGI5100113,Кун,Kun,"5101","5","70424",2017/02/01 01:00:00+01,POINT(609773.8545000004 4755666.320599999)
SRBRGI5100114,Стрељаник,Streljanik,"5101","5","70297",2017/02/01 01:00:00+01,POINT(565212.8498999998 4761609.5688000005)
SRBRGI5100115,Бучуметски врх,Bučumetski vrh,"5101","5","70815",2017/02/01 01:00:00+01,POINT(545973.8460999997 4752574.691299999)
SRBRGI5100116,Голеш,Goleš,"5101","5","70815",2017/02/01 01:00:00+01,POINT(542821.0822999999 4748667.7666)
SRBRGI5100117,Бабин зуб,Babin zub,"5101","5","70815",2017/02/01 01:00:00+01,POINT(537581.2516000001 4750120.024900001)
SRBRGI5100118,Орловачки вис,Orlovački vis,"5101","5","70688",2017/02/01 01:00:00+01,POINT(520762.2807 4760423.687100001)
SRBRGI5100119,Шанац,Šanac,"5101","5","70688",2017/02/01 01:00:00+01,POINT(519546.6832999997 4762546.1456)
SRBRGI5100120,Соколовац,Sokolovac,"5101","5","70998",2017/02/01 01:00:00+01,POINT(538914.7500999998 4764571.423599999)
SRBRGI5100121,Близоњски вис,Blizonjski vis,"5101","5","70360",2017/02/01 01:00:00+01,POINT(413765.40869999956 4913995.269200001)
SRBRGI5100122,Кичер,Kičer,"5105","5","70360",2020/07/08 12:34:14+02,POINT(412900.5729 4914125.9526)
SRBRGI5100123,Шапот,Šapot,"5101","5","70297",2017/02/01 01:00:00+01,POINT(540607.8221000005 4760834.286599999)
SRBRGI5100124,Соколов вис,Sokolov vis,"5101","6","70688",2017/02/01 01:00:00+01,POINT(536364.1613999996 4759395.7443)
SRBRGI5100125,Кула,Kula,"5101","5","70688",2017/02/01 01:00:00+01,POINT(533564.1233999999 4755257.0441)
SRBRGI5100126,Голак,Golak,"5101","5","70688",2017/02/01 01:00:00+01,POINT(524068.5393000003 4750046.124399999)
