geoidentifikator,name_1,name_2,localtype,znacaj,matbro,matbrnas,brojstanovnika,godinapopisa,editdate,geometry
SRBRGI6000163,Сириг,Sirig,"6003","9","80446","804673","2939","2011",2017/02/01 01:00:00+01,POINT(407089.18510000035 5032370.625499999)
SRBRGI6000164,Книћанин,Knićanin,"6003","7","80152","801585","1753","2011",2017/02/01 01:00:00+01,POINT(446359.70940000005 5004017.7115)
SRBRGI6000165,Чента,Čenta,"6003","9","80152","801712","3050","2011",2017/02/01 01:00:00+01,POINT(451640.5800000001 4995060.7103)
SRBRGI6000166,Сурдук,Surduk,"6003","9","80420","804444","1397","2011",2017/02/01 01:00:00+01,POINT(446887.7681 4991065.1424)
SRBRGI6000167,Милешево,Mileševo,"6003","7","80110","801011","909","2011",2017/02/01 01:00:00+01,POINT(408438.5290000001 5065196.975500001)
SRBRGI6000168,Ново Милошево,Novo Miloševo,"6003","9","80268","802620","6020","2011",2017/02/01 01:00:00+01,POINT(445942.9414999997 5063229.8632)
SRBRGI6000169,Вишњићево,Višnjićevo,"6003","7","80497","804991","1683","2011",2017/02/01 01:00:00+01,POINT(365116.84219999984 4980578.837300001)
SRBRGI6000170,Потпорањ,Potporanj,"6003","5","80128","801232","272","2011",2017/02/01 01:00:00+01,POINT(519197.1721000001 4985415.464400001)
SRBRGI6000171,Ритишево,Ritiševo,"6003","7","80128","801259","549","2011",2017/02/01 01:00:00+01,POINT(517988.49230000004 4989898.6468)
SRBRGI6000172,Влајковац,Vlajkovac,"6003","7","80128","801054","1148","2011",2017/02/01 01:00:00+01,POINT(515764.99729999993 4990918.4032000005)
SRBRGI6000173,Вршац,Vršac,"6001","9","80128","801089","36040","2011",2019/10/21 13:38:02+02,POINT(523519.66669999994 4996406.292400001)
SRBRGI6000174,Вршачки Ритови,Vršački Ritovi,"6003","7","80128","801097","37","2011",2017/02/01 01:00:00+01,POINT(513790.9494000003 5000794.3684)
SRBRGI6000175,Загајица,Zagajica,"6003","6","80128","801127","500","2011",2017/02/01 01:00:00+01,POINT(518166.06439999957 4981091.626700001)
