geoidentifikator,name_1,name_2,localtype,znacaj,matbro,registarskibroj,editdate,geometry
SRBRGI7100074,Храст лужњак у дворишту црпне станице код Кумана,Hrast lužnjak u dvorištu crpne stanice kod Kumana,"7101","1","80268","536",2017/02/01 01:00:00+01,POINT(433617.7971999999 5038122.0416)
SRBRGI7100075,Амерички платан код Сонте,Američki platan kod Sonte,"7101","1","80047","564",2017/02/01 01:00:00+01,POINT(351571.45889999997 5047366.5065)
SRBRGI7100076,Група храста лужњака код Јеленског острва,Grupa hrasta lužnjaka kod Jelenskog ostrva,"7101","1","80047","565",2017/02/01 01:00:00+01,POINT(341402.81149999984 5051386.4893)
SRBRGI7100077,Група храста лужњака код Јеленског острва,Grupa hrasta lužnjaka kod Jelenskog ostrva,"7101","1","80047","565",2017/02/01 01:00:00+01,POINT(341449.9665999999 5051309.671700001)
SRBRGI7100078,Група храста лужњака код Јеленског острва,Grupa hrasta lužnjaka kod Jelenskog ostrva,"7101","1","80047","565",2017/02/01 01:00:00+01,POINT(341456.23840000015 5050809.1074)
SRBRGI7100079,Група храста лужњака код Јеленског острва,Grupa hrasta lužnjaka kod Jelenskog ostrva,"7101","1","80047","565",2017/02/01 01:00:00+01,POINT(341430.32210000046 5050785.062999999)
SRBRGI7100080,Група храста лужњака код Јеленског острва,Grupa hrasta lužnjaka kod Jelenskog ostrva,"7101","1","80047","565",2017/02/01 01:00:00+01,POINT(341427.51800000016 5050710.1195)
SRBRGI7100081,Дивља крушка код Свилојева,Divlja kruška kod Svilojeva,"7101","1","80047","566",2017/02/01 01:00:00+01,POINT(350945.7237 5055167.188200001)
SRBRGI7100082,Храст сладун,Hrast sladun,"7101","1","70386","567",2017/02/01 01:00:00+01,POINT(501366.52770000044 4907533.1964)
SRBRGI7100083,Енглески пољски брест у Шајкашу,Engleski poljski brest u Šajkašu,"7101","1","80454","574",2017/02/01 01:00:00+01,POINT(428618.00409999955 5013193.359099999)
SRBRGI7100084,Лукића храст у Раниловићу,Lukića hrast u Raniloviću,"7101","1","70033","593",2017/02/01 01:00:00+01,POINT(460228.95019999985 4916182.2851)
SRBRGI7100085,Група храста лужњака код Јозића колибе,Grupa hrasta lužnjaka kod Jozića kolibe,"7101","1","70190","597",2017/02/01 01:00:00+01,POINT(436446.74729999993 4939225.988600001)
SRBRGI7100086,Храст лужњак код Вранеша,Hrast lužnjak kod Vraneša,"7101","1","70459","600",2017/02/01 01:00:00+01,POINT(485125.33910000045 4838012.1789)
SRBRGI7100088,Липа у Шапцу,Lipa u Šapcu,"7101","1","71269","614",2017/02/01 01:00:00+01,POINT(396515.4967 4956791.297900001)
SRBRGI7100089,Две магнолије у Ботићевој,Dve magnolije u Botićevoj,"7101","1","70220","616",2019/10/15 10:01:42+02,POINT(456876.15419999976 4959427.2805)
SRBRGI7100090,Два хималајска боровца,Dva himalajska borovca,"7101","1","70220","618",2019/10/15 10:01:42+02,POINT(455094.69880000036 4959942.305299999)
SRBRGI7100091,Два хималајска боровца,Dva himalajska borovca,"7101","1","70220","618",2019/10/15 10:01:42+02,POINT(455067.7084999997 4959946.303200001)
SRBRGI7100092,Храст лужњак у Обрви,Hrast lužnjak u Obrvi,"7101","1","70653","620",2017/02/01 01:00:00+01,POINT(467654.60639999993 4849491.294500001)
SRBRGI7100093,Бреза у Доњој Краварици,Breza u Donjoj Kravarici,"7101","1","70742","621",2017/02/01 01:00:00+01,POINT(431585.60250000004 4849002.6598000005)
SRBRGI7100094,Липа у Гучи,Lipa u Guči,"7101","1","70742","622",2017/02/01 01:00:00+01,POINT(437783.63659999985 4847427.832)
SRBRGI7100095,Бела врба у Губеревцима,Bela vrba u Guberevcima,"7101","1","70742","623",2017/02/01 01:00:00+01,POINT(447080.4932000004 4845678.024499999)
SRBRGI7100096,Дрен у Губеревцима,Dren u Guberevcima,"7101","1","70742","624",2017/02/01 01:00:00+01,POINT(447705.30420000013 4846052.8923)
SRBRGI7100097,Храст сладун у Властељицама,Hrast sladun u Vlasteljicama,"7101","1","70742","625",2017/02/01 01:00:00+01,POINT(451051.7468999997 4841684.0363)
SRBRGI7100098,Стабло липе у Каони,Stablo lipe u Kaoni,"7101","1","70742","626",2017/02/01 01:00:00+01,POINT(451978.9528999999 4840054.6709)
