geoidentifikator,name_1,name_2,localtype,znacaj,matbro,editdate,shape_length,geometry
SRBRGI5018602,Ћафа е Љуцит,Ćafa e Ljucit,"5002","2","90239",2017/02/01 01:00:00+01,683.626640846503,"MULTILINESTRING((443454.37799999956 4736603.865,443541.6906000003 4736488.771,443640.9095999999 4736357.801999999,443799.6599000003 4736210.958000001,443934.5976999998 4736127.6141))"
SRBRGI5018603,Брегу и сулес,Bregu i sules,"5002","2","90239",2017/02/01 01:00:00+01,603.490891150721,"MULTILINESTRING((446063.96860000025 4737985.5219,446085.1353000002 4738138.980599999,446087.78110000025 4738252.751700001,446095.7187000001 4738448.5437,446077.1978000002 4738586.1273))"
SRBRGI5018604,Шпати е лезит,Špati e lezit,"5002","2","90239",2017/02/01 01:00:00+01,774.546660126761,"MULTILINESTRING((443934.06850000005 4739205.2535999995,443981.6935999999 4739096.7742,444053.1311999997 4738983.0031,444100.75629999954 4738911.5655000005,444156.3189000003 4738840.127800001,444219.81909999996 4738771.335999999,444307.1316999998 4738662.8566,444391.79860000033 4738588.7732))"
SRBRGI5018605,Кодра,Kodra,"5002","2","90239",2017/02/01 01:00:00+01,297.822119201809,"MULTILINESTRING((444488.63630000036 4734541.036900001,444786.29310000036 4734531.115))"
SRBRGI5018606,Руза,Ruza,"5002","4","90239",2017/02/01 01:00:00+01,441.062673491835,"MULTILINESTRING((445249.31489999965 4735338.095799999,445460.98199999984 4734951.141899999))"
SRBRGI5018607,Велики рид,Veliki rid,"5002","2","90107",2017/02/01 01:00:00+01,285.421632570794,"MULTILINESTRING((448170.32070000004 4737067.072000001,448265.5708999997 4736936.103,448352.8836000003 4736848.7903))"
SRBRGI5018608,Црквени брег,Crkveni breg,"5002","2","90107",2017/02/01 01:00:00+01,399.904455585468,"MULTILINESTRING((449595.10479999986 4735551.0065,449714.1676000003 4735543.0689,449841.16779999994 4735483.537599999,449964.19930000044 4735416.068700001))"
SRBRGI5018609,Орлов крш,Orlov krš,"5002","4","90107",2017/02/01 01:00:00+01,570.677828882882,"MULTILINESTRING((453146.2171 4738830.2059,453367.8060999997 4738615.2315,453526.5564000001 4738406.8718))"
SRBRGI5018610,Стршено,Stršeno,"5002","2","90107",2017/02/01 01:00:00+01,229.588030868537,"MULTILINESTRING((457040.4946999997 4739625.9419,457190.77830000035 4739799.5089))"
SRBRGI5018611,Цермен,Cermen,"5002","2","90107",2017/02/01 01:00:00+01,357.861803052604,"MULTILINESTRING((460766.3866999997 4738364.8029,460822.6107999999 4738268.8913,460901.98589999974 4738166.365,460987.9757000003 4738086.9899))"
SRBRGI5018612,Стране,Strane,"5002","2","90107",2017/02/01 01:00:00+01,458.741616025058,"MULTILINESTRING((456671.40020000003 4736930.6261,456822.21300000045 4736910.782299999,457024.6196999997 4736922.6886,457127.8074000003 4736934.594799999))"
SRBRGI5018613,Црна стена,Crna stena,"5002","2","90107",2017/02/01 01:00:00+01,360.495500000194,"MULTILINESTRING((462199.7477000002 4739122.0419,462560.2432000004 4739122.0419))"
