geoidentifikator,name_1,name_2,localtype,znacaj,matbro,editdate,geometry
SRBRGI3102111,Јелав,Jelav,"3101","2","70866",2020/07/17 12:17:44+02,POINT(411455.6122000003 4818742.486500001)
SRBRGI3102112,Велико врело,Veliko vrelo,"3101","2","70866",2017/02/01 01:00:00+01,POINT(408919.2627999997 4818851.8452)
SRBRGI3102113,Добрине воде,Dobrine vode,"3101","2","70866",2017/02/01 01:00:00+01,POINT(405319.3348000003 4816768.5118)
SRBRGI3102114,Студенца,Studenca,"3101","2","70866",2017/02/01 01:00:00+01,POINT(406720.5708999997 4818583.2926)
SRBRGI3102115,Пакитовина,Pakitovina,"3101","2","70866",2020/07/17 12:19:02+02,POINT(402111.81879999954 4816518.442399999)
SRBRGI3102116,Радојевац,Radojevac,"3101","2","70866",2017/02/01 01:00:00+01,POINT(402529.5625 4816071.0688000005)
SRBRGI3102117,Бошњево врело,Bošnjevo vrelo,"3101","2","70866",2017/02/01 01:00:00+01,POINT(402831.1880999999 4816756.341)
SRBRGI3102118,Лечића врело,Lečića vrelo,"3101","2","70866",2017/02/01 01:00:00+01,POINT(403241.29310000036 4816870.1121)
SRBRGI3102119,Вилиповац,Vilipovac,"3101","3","70866",2017/02/01 01:00:00+01,POINT(398759.2424999997 4818127.4146)
SRBRGI3102120,Забој,Zaboj,"3101","2","70866",2020/07/17 10:03:51+02,POINT(395836.0617000004 4816544.7313)
SRBRGI3102121,Гачево врело,Gačevo vrelo,"3101","2","70866",2017/02/01 01:00:00+01,POINT(394574.8487 4818140.114600001)
SRBRGI3102122,Вигањ,Viganj,"3101","2","70866",2020/07/17 10:03:51+02,POINT(392192.6838999996 4818724.2335)
SRBRGI3102123,Пушљивац,Pušljivac,"3101","2","70866",2017/02/01 01:00:00+01,POINT(391271.5192 4816768.5118)
SRBRGI3102124,Бањица,Banjica,"3101","2","70866",2017/02/01 01:00:00+01,POINT(390837.6015999997 4816743.1118)
SRBRGI3102125,Зетин,Zetin,"3101","2","70866",2017/02/01 01:00:00+01,POINT(392137.23759999964 4816535.678099999)
SRBRGI3102126,Вијенац,Vijenac,"3101","2","70971",2017/02/01 01:00:00+01,POINT(389926.1102 4819257.9814)
SRBRGI3102127,Буковци,Bukovci,"3101","2","70971",2017/02/01 01:00:00+01,POINT(382914.19689999986 4816359.9944)
SRBRGI3102128,Строја,Stroja,"3101","2","70971",2017/02/01 01:00:00+01,POINT(381430.0577999996 4816907.1537999995)
SRBRGI3102129,Ропоч,Ropoč,"3101","2","70971",2017/02/01 01:00:00+01,POINT(371294.1146 4817870.2391)
SRBRGI3102130,Тријебеж,Trijebež,"3101","2","70971",2017/02/01 01:00:00+01,POINT(369275.3398000002 4818075.2915)
SRBRGI3102131,Доловићи,Dolovići,"3101","2","70971",2017/02/01 01:00:00+01,POINT(362963.1626000004 4816719.828400001)
SRBRGI3102132,Улица,Ulica,"3101","2","70971",2017/02/01 01:00:00+01,POINT(378607.2126000002 4822574.540100001)
SRBRGI3102133,Тришовића чесма,Trišovića česma,"3106","2","70971",2017/02/01 01:00:00+01,POINT(385535.341 4822003.039000001)
SRBRGI3102134,Лука,Luka,"3101","2","70971",2020/07/17 10:03:51+02,POINT(385421.6805999996 4821140.085999999)
SRBRGI3102135,Савића вода,Savića voda,"3101","2","70971",2017/02/01 01:00:00+01,POINT(384815.67289999966 4820295.1502)
SRBRGI3102136,Лучица,Lučica,"3101","2","70866",2017/02/01 01:00:00+01,POINT(395866.0179000003 4822130.0392)
SRBRGI3102137,Јанково врело,Jankovo vrelo,"3101","2","70866",2020/07/17 10:03:51+02,POINT(399891.76460000034 4822208.9673)
SRBRGI3102138,Зарино врело,Zarino vrelo,"3101","2","70866",2017/02/01 01:00:00+01,POINT(403900.63609999977 4821300.304199999)
SRBRGI3102139,Периште,Perište,"3101","2","70866",2020/07/17 10:03:51+02,POINT(405856.1021999996 4819734.3050999995)
SRBRGI3102140,Коњско врело,Konjsko vrelo,"3101","2","70866",2017/02/01 01:00:00+01,POINT(409111.1743000001 4822839.4768)
SRBRGI3102141,Перовац,Perovac,"3101","2","70564",2017/02/01 01:00:00+01,POINT(414277.0860000001 4823037.561899999)
SRBRGI3102142,Точила,Točila,"3101","4","70564",2017/02/01 01:00:00+01,POINT(422898.41309999954 4822018.057600001)
SRBRGI3102143,Точила,Točila,"3101","4","70564",2017/02/01 01:00:00+01,POINT(422920.6381999999 4821921.219900001)
SRBRGI3102144,Добра вода,Dobra voda,"3101","2","70564",2017/02/01 01:00:00+01,POINT(427219.9994000001 4819873.668099999)
SRBRGI3102145,Гњидавац,Gnjidavac,"3101","2","70653",2017/02/01 01:00:00+01,POINT(451884.50710000005 4823721.775800001)
SRBRGI3102146,Врело,Vrelo,"3101","2","70653",2017/02/01 01:00:00+01,POINT(467010.7664999999 4820187.464500001)
SRBRGI3102147,Драганића вода,Draganića voda,"3101","4","70653",2020/07/17 10:03:51+02,POINT(468965.87480000034 4823405.521600001)
SRBRGI3102148,Лутвина чесма,Lutvina česma,"3106","2","70025",2017/02/01 01:00:00+01,POINT(554873.7755000005 4823831.3135)
SRBRGI3102149,Ицински кладенац,Icinski kladenac,"3101","2","70025",2017/02/01 01:00:00+01,POINT(558423.4326 4822198.301899999)
SRBRGI3102150,Врелце,Vrelce,"3101","2","70025",2017/02/01 01:00:00+01,POINT(567237.7794000003 4820384.3149)
